Company Name,Company Website,Product Name,Description,Category,Pricing,Product URL,Features,Source
Choose 2 Rent,https://choose2rent.com,Paper Badge Printers,Printers for creating paper badges for events.,Hardware,Paid,,Supports paper badge printing | Compatible with event registration systems | Easy to use,multi_strategy
Choose 2 Rent,https://choose2rent.com,Plastic Badge Printers,Printers for creating durable plastic badges for events.,Hardware,Paid,,High-quality plastic badge printing | Durable and professional output | Easy setup and operation,multi_strategy
Choose 2 Rent,https://choose2rent.com,Adhesive Badge Printers,Printers for creating adhesive badges for events.,Hardware,Paid,,Adhesive badge printing | Quick and efficient | User-friendly design,multi_strategy
Choose 2 Rent,https://choose2rent.com,Wristband Printers,Printers for creating event wristbands.,Hardware,Paid,,Wristband printing | Customizable designs | Durable wristbands,multi_strategy
Choose 2 Rent,https://choose2rent.com,RFID/UHF Encoder Printers,Printers with RFID/UHF encoding capabilities for event badges.,Hardware,Paid,,RFID/UHF encoding | Secure badge printing | Supports advanced event technologies,multi_strategy
Choose 2 Rent,https://choose2rent.com,Laser Printers,Laser printers for high-quality event printing needs.,Hardware,Paid,,High-speed printing | Sharp and clear output | Reliable performance,multi_strategy
Choose 2 Rent,https://choose2rent.com,Brother Printers,Brother brand printers for event badge printing.,Hardware,Paid,,Reliable brand | High-quality printing | Easy to use,multi_strategy
Choose 2 Rent,https://choose2rent.com,Epson Printers,Epson brand printers for event badge printing.,Hardware,Paid,,Trusted brand | High-quality output | User-friendly operation,multi_strategy
Choose 2 Rent,https://choose2rent.com,Zebra Printers,Zebra brand printers for event badge printing.,Hardware,Paid,,Durable and reliable | High-speed printing | Ideal for events,multi_strategy
Choose 2 Rent,https://choose2rent.com,Tablet PC & iPads,Tablet PCs and iPads for event use.,Hardware,Paid,,Portable and versatile | Supports event registration apps | High-resolution screens,multi_strategy
Choose 2 Rent,https://choose2rent.com,Mobile Internet,Mobile internet devices for connectivity at events.,Hardware,Paid,,Reliable internet connection | Portable | Supports multiple devices,multi_strategy
Choose 2 Rent,https://choose2rent.com,Laptops,Laptops for event management and operations.,Hardware,Paid,,High-performance laptops | Ideal for event operations | Easy to set up,multi_strategy
Choose 2 Rent,https://choose2rent.com,Phones,Phones for communication during events.,Hardware,Paid,,Portable communication devices | Reliable connectivity | Easy to use,multi_strategy
Choose 2 Rent,https://choose2rent.com,Scanners,Scanners for event check-in and badge scanning.,Hardware,Paid,,Fast scanning | Accurate data capture | Supports various badge types,multi_strategy
Choose 2 Rent,https://choose2rent.com,BadgeBox™,Badge printing and management device for events.,Hardware,Paid,,On-demand badge printing | Compact design | Easy to use,multi_strategy
Choose 2 Rent,https://choose2rent.com,Event Kiosk,Kiosk for event registration and check-in.,Hardware,Paid,,Streamlines event registration | User-friendly interface | Customizable branding,multi_strategy
Choose 2 Rent,https://choose2rent.com,Event Kiosk Pro™,Advanced event kiosk with enhanced features.,Hardware,Paid,,Advanced functionality | Custom branding options | Efficient event check-in,multi_strategy
Choose 2 Rent,https://choose2rent.com,Desk Stands,Desk stands for event devices.,Accessories,Paid,,Stable and durable | Supports various devices | Compact design,multi_strategy
Choose 2 Rent,https://choose2rent.com,Floor Stands,Floor stands for event devices.,Accessories,Paid,,Sturdy and adjustable | Ideal for kiosks and tablets | Easy to assemble,multi_strategy
Choose 2 Rent,https://choose2rent.com,Covers and Cases,Protective covers and cases for event devices.,Accessories,Paid,,Durable material | Protects devices | Customizable options,multi_strategy
Choose 2 Rent,https://choose2rent.com,Power Banks,Portable power banks for charging devices at events.,Accessories,Paid,,Portable charging | High capacity | Compatible with various devices,multi_strategy
Choose 2 Rent,https://choose2rent.com,Custom Branding,Custom branding options for event equipment.,Service,Paid,,Customizable designs | Brand integration | Professional appearance,multi_strategy
Choose 2 Rent,https://choose2rent.com,Event Support Service,On-site and virtual support for event equipment setup and operation.,Service,Paid,,On-site technicians | 24/7 support | Setup assistance,multi_strategy
Choose 2 Rent,https://choose2rent.com,Insurance Plan,Insurance coverage for rented event equipment.,Service,Paid,,Equipment protection | Peace of mind | Affordable coverage,multi_strategy
Choose 2 Rent,https://choose2rent.com,Eco-Friendly Lanyards,Environmentally friendly lanyards for events.,Accessories,Paid,,Metal-free design | Sustainable materials | Available in single or double clip,multi_strategy
Choose 2 Rent,https://choose2rent.com,IntelliBadge,Innovative badge printing solution for events.,Hardware,Paid,,Smart badge printing | Efficient and fast | Customizable options,multi_strategy
Choose 2 Rent,https://choose2rent.com,Badge Paper,Paper supplies for badge printing.,Accessories,Paid,,High-quality paper | Compatible with badge printers | Durable and professional,multi_strategy
Choose 2 Rent,https://choose2rent.com,Badge Holders,Holders for event badges.,Accessories,Paid,,Durable material | Various sizes available | Protects badges,multi_strategy
Choose 2 Rent,https://choose2rent.com,Epson Printer Rental,"High-performance Epson printers for on-demand, full-color event name badge printing.",Service,Request a quote,,"Vibrant, fade-resistant prints | Easy setup and operation | On-demand printing for time-saving | Seamless integration with event registration software | Custom branding for logos and designs",multi_strategy
Choose 2 Rent,https://choose2rent.com,Epson ColorWorks C3500,"A high-performance printer for medium-sized conferences, offering sharp resolution and custom color printing.",Hardware,Request a quote,,"4 inches per second print speed | 720 x 360 dpi sharp resolution | Matte, individual CMYK cartridges with DURABrite Ultra pigment inks | USB and Ethernet connectivity | Supports paper, synthetic, and hybrid fanfold name badges",multi_strategy
Choose 2 Rent,https://choose2rent.com,Epson ColorWorks C4000,"A premium printer for corporate events, providing ultra-high resolution and custom color printing.",Hardware,Request a quote,,"4 inches per second print speed | 600 x 600 dpi ultra-high resolution | Matte PrecisionCore pigment ink | USB, Ethernet, and optional Wi-Fi connectivity | Supports paper, synthetic, and hybrid fanfold name badges",multi_strategy
Choose 2 Rent,https://choose2rent.com,Badge Supplies,A wide range of badge supplies for events.,Hardware,Paid,,Paper badges | Plastic badges | Adhesive badges | Wristbands | RFID/UHF encoders,multi_strategy
Choose 2 Rent,https://choose2rent.com,Tablets and iPads,Tablet PCs and iPads for event use.,Hardware,Request a quote,,Portable and lightweight | Supports event registration | Compatible with event software | High-resolution displays | User-friendly interface,multi_strategy
Choose 2 Rent,https://choose2rent.com,Zebra ZD420 Series,"A Zebra printer for on-site badge printing, ideal for small to medium-sized events.",Hardware,Paid,,"Supports paper, tear-resistant, and synthetic badge media | Prints up to 1,800 name badges per hour | Ink-free direct thermal printing in black | USB and Ethernet connectivity | Best for events up to 800 attendees",multi_strategy
Choose 2 Rent,https://choose2rent.com,Zebra ZD620 Series,"A Zebra printer for on-site badge printing, suitable for medium-sized events.",Hardware,Paid,,"Supports paper, tear-resistant, and synthetic badge media | Prints up to 500 name badges per hour | Ink-free direct thermal and traditional ink printing | USB and Ethernet connectivity | Best for events up to 1,000 attendees",multi_strategy
Choose 2 Rent,https://choose2rent.com,Zebra ZD621 Series,"A Zebra printer for on-site badge printing, designed for large events.",Hardware,Paid,,"Supports paper, tear-resistant, and synthetic badge media | Prints up to 500 name badges per hour | Ink-free direct thermal printing with cutter included | USB, Ethernet, WiFi, and Bluetooth connectivity | Best for events up to 3,000 attendees",multi_strategy
Choose 2 Rent,https://choose2rent.com,Zebra ZC10L Large-Format,"A Zebra printer for large-format PVC name badges, ideal for VIP events.",Hardware,Paid,,"Supports PVC badge media | Prints up to 195 name badges per hour | Dye-sublimation printing with cutter included | USB connectivity | Best for VIP events up to 2,000 attendees",multi_strategy
Choose 2 Rent,https://choose2rent.com,Event Kiosk Pro,An advanced event registration kiosk for seamless check-in and branding.,Hardware,Paid,,All-in-one event registration solution | Fully brandable | Compatible with Zebra printers | Streamlines check-in process | Saves space and time,multi_strategy
TransPerfect Live,https://transperfect.com,GlobalLink,"A Global Performance Platform™ that combines generative AI, content management, and native integrations to centralize and simplify content strategy while reducing localization and project management costs.",Platform,Contact for pricing,https://www.transperfect.com/globallink,Generative AI integration | Time-saving content management | Native integrations with 80+ platforms | Reduces localization and project management costs by up to 50% | Accelerates go-to-market timelines by 50%,multi_strategy
TransPerfect Live,https://transperfect.com,eClinical Solutions,"Advanced solutions for life sciences to accelerate development timelines, streamline product launches, and reduce R&D costs.",Service,Contact for pricing,,Accelerates development timelines | Streamlines product launches | Reduces R&D costs by up to 40% | Utilizes advanced AI capabilities | Tailored for life sciences industry,multi_strategy
TransPerfect Live,https://transperfect.com,AI-Powered Content Programs,"Tailor-made solutions to create impactful in-language experiences that drive results, combining services, technology, consulting, and expertise.",Service,Contact for pricing,,"Customizable content programs | Supports global audience engagement | Combines services, technology, and consulting | Focus on efficiency and impact | Optimized for multiple regions and audiences",multi_strategy
TransPerfect Live,https://transperfect.com,Video Game Localization Solutions,Expert localization services to help gaming companies reach and retain players worldwide.,Service,Contact for pricing,,Expert video game localization | Supports global player engagement | Enhances gaming experience | Tailored for gaming industry | Focus on cultural adaptation,multi_strategy
TransPerfect Live,https://transperfect.com,Media Creation and Globalization Solutions,Services to elevate storytelling for global audiences through media creation and localization.,Service,Contact for pricing,,Media creation services | Globalization solutions | Enhances storytelling for global audiences | Supports media and entertainment industry | Focus on cultural relevance,multi_strategy
TransPerfect Live,https://transperfect.com,Legal Technology and Language Services,Best-in-class legal technology and language services to support global litigation and discovery strategies.,Service,Contact for pricing,,Supports global litigation strategies | Discovery services | Legal technology solutions | Language services for legal industry | Focus on compliance and accuracy,multi_strategy
TransPerfect Live,https://transperfect.com,Retail and E-Commerce Solutions,AI-powered technology to maintain brand consistency and deliver impactful customer communication across markets.,Service,Contact for pricing,,Maintains brand consistency | AI-powered technology | Impactful customer communication | Protects brand equity | Optimized for retail and e-commerce,multi_strategy
TransPerfect Live,https://transperfect.com,Travel and Hospitality Solutions,Services to boost bookings and build brand loyalty by delivering personalized customer experiences throughout the travel journey.,Service,Contact for pricing,,Boosts bookings | Builds brand loyalty | Personalized customer experiences | Optimized for travel industry | Focus on customer engagement,multi_strategy
TransPerfect Live,https://transperfect.com,Finance and Banking Solutions,"Solutions to ensure secure data handling, regulatory compliance, and customer satisfaction for the finance and banking industry.",Service,Contact for pricing,,Secure data handling | Regulatory compliance | Customer satisfaction focus | Optimized for finance and banking | Global reach and support,multi_strategy
TransPerfect Live,https://transperfect.com,Digital Marketing and Advertising Solutions,Services to provide powerful and relevant content to international marketplaces.,Service,Contact for pricing,,Powerful content creation | Relevance for international markets | Supports marketing and advertising | Focus on global reach | Optimized for digital platforms,multi_strategy
Eventpack,https://eventpack.com,No products found,,,,,,no_products_found
Fenix Event Tech,,No products found,,,,,,none
IMEX Group,https://imexexhibitions.com,IMEX Frankfurt,"A global event bringing the meetings and events community together for business, learning, and positive change.",Event,Not mentioned,https://www.imex-frankfurt.com,Global events community gathering | Business networking opportunities | Educational sessions | Advancing the events industry | Focus on sustainable practices,multi_strategy
IMEX Group,https://imexexhibitions.com,IMEX America,An event held in Las Vegas to connect the global meetings and events community.,Event,Not mentioned,https://www.imexamerica.com,Networking opportunities | Educational sessions | Hosted buyer programs | Industry partnerships | Focus on environmental and social progress,multi_strategy
IMEX Group,https://imexexhibitions.com,IMEXscoop,A news platform providing updates and insights from IMEX events.,Service,Free,https://www.imexscoop.com,Event updates | Industry insights | News coverage | Focus on trends | Accessible information for professionals,multi_strategy
IMEX Group,https://imexexhibitions.com,IMEXfiles,"A subscription-based service offering thought-provoking ideas, insights, and inspiration from IMEX HQ.",Service,Free,https://www.imexfiles.com,Regular updates | Professional development resources | Industry trends and research | Event planning tips | Inspiration for event professionals,multi_strategy
ExpoPlatform,https://expoplatform.com,Smart Event Platform,"An all-in-one platform for designing custom event experiences for in-person, virtual, or hybrid audiences.",Platform,Not mentioned,,AI-powered Matchmaking | Hosted Buyer Programmes | Smart Event app with Lead Intelligence | Website Builder | Interactive Floorplan,multi_strategy
ExpoPlatform,https://expoplatform.com,Sustainability Programme,A programme to reduce event carbon footprint and plant trees.,Service,Not mentioned,,Carbon footprint reduction | Tree planting,multi_strategy
ExpoPlatform,https://expoplatform.com,Lead Intelligence,Combines seamless lead retrieval with advanced exhibitor ROI dashboards.,Platform,Not mentioned,,Mobile App lead retrieval | Visitor and product QR code scanning | Real-time analytics for sponsors | Exhibitor ROI dashboards,multi_strategy
ExpoPlatform,https://expoplatform.com,Marketplaces and Tendering,Connects buyers and sellers through marketplaces and tendering solutions.,Platform,Not mentioned,,Supplier Marketplaces | Tendering | Year-round Matchmaking,multi_strategy
ExpoPlatform,https://expoplatform.com,Community Engagement Tools,Tools to connect and engage communities year-round.,Platform,Not mentioned,,News | On-demand Content | Community Groups | Data and insights generation,multi_strategy
ExpoPlatform,https://expoplatform.com,Exhibitor Manual,Offers easy onboarding and monetisation for exhibitors.,Platform,Not mentioned,,Easy onboarding | Monetisation opportunities,multi_strategy
ExpoPlatform,https://expoplatform.com,Speed Networking Platform,"A platform designed to fuel quality connections among participants through short, fast-paced meetings.",Platform,Not mentioned,,"Short, fast-paced meetings | Quality connections",multi_strategy
FFAIR,https://ffair.com,No products found,,,,,,no_products_found
Cvent,https://cvent.com,Cvent Attendee Hub,"Platform for creating interactive experiences for any event, including virtual, hybrid, and in-person events.",Platform,Contact for pricing,https://www.cvent.com,"Interactive event experiences | Support for virtual, hybrid, and in-person events | Engagement tools | Customizable event content | Real-time analytics",multi_strategy
Cvent,https://cvent.com,Cvent Supplier Network,"Platform for finding and sourcing event venues, connecting planners with venues worldwide.",Platform,Contact for pricing,https://www.cvent.com/supplier-network,Venue search | Global venue database | Direct venue communication | Event space comparison | Venue recommendations,multi_strategy
Cvent,https://cvent.com,Event Registration,"Tool for managing event registrations, including customizable forms and attendee tracking.",Tool,Contact for pricing,https://www.cvent.com,Customizable registration forms | Attendee tracking | Payment processing | Automated confirmations | Integration with event platforms,multi_strategy
Cvent,https://cvent.com,Mobile Apps,Customizable mobile applications for enhancing attendee engagement and event experiences.,Mobile Application,Contact for pricing,https://www.cvent.com,Custom branding | Event agenda access | Networking tools | Push notifications | Live polling,multi_strategy
Cvent,https://cvent.com,Check-in & Badging,Solution for streamlining event check-in and attendee badging processes.,Tool,Contact for pricing,https://www.cvent.com,On-site check-in | Badge printing | QR code scanning | Attendance tracking | Integration with registration tools,multi_strategy
Cvent,https://cvent.com,Webinar Platform,Platform for hosting interactive webinars with tools for engagement and analytics.,Platform,Free for hosting webinars,https://www.cvent.com,Live streaming | Audience engagement tools | Polls and Q&A | Analytics and reporting | Custom branding,multi_strategy
Cvent,https://cvent.com,Venue Sourcing,"Service for sourcing and selecting venues for events, including comparison tools and recommendations.",Service,Contact for pricing,https://www.cvent.com,Venue comparison | Recommendations based on event needs | Direct communication with venues | Global venue database | Integration with event planning tools,multi_strategy
Cvent,https://cvent.com,Repeatable Events,Solution for managing recurring events with templates and automation tools.,Tool,Contact for pricing,https://www.cvent.com,Event templates | Automation for recurring events | Customizable workflows | Integration with registration tools | Analytics and reporting,multi_strategy
enviricard®,,No products found,,,,,,none
4Wall,https://europe.4wall.com,Rentals,"Provides rental services for video, lighting, and rigging equipment for various events and productions.",Service,Paid,,"Latest video and lighting equipment | Support for exhibitions, trade shows, concerts, and more | Available in the UK, Europe, and the US | Scalable for events of any size | Full-service support",multi_strategy
4Wall,https://europe.4wall.com,Trade,"Offers sales of new and used stage lighting, moving lights, truss equipment, and video equipment.",Service,Paid,,Used stage lighting and moving lights | Used truss and video equipment | New lighting equipment | Weekly specials on products | Available in multiple locations,multi_strategy
4Wall,https://europe.4wall.com,Production Spaces,"Provides production spaces for virtual and hybrid events, including Studio 19 with extended reality technology.",Service,Paid,,Studio 19 with extended reality technology | Green screen and virtual production capabilities | Located in London's Royal Lancaster hotel | Secure environment for events | Supports bespoke virtual and hybrid events,multi_strategy
4Wall,https://europe.4wall.com,AV Integration,Offers audiovisual integration services for various projects and events.,Service,Paid,,Custom AV solutions | Supports diverse project requirements | Expert team for integration | Scalable for events of any size | Available in multiple locations,multi_strategy
4Wall,https://europe.4wall.com,Innovation,Focuses on providing innovative solutions and technologies for events and productions.,Service,Paid,,"Cutting-edge technology | Tailored solutions for events | Focus on creativity and innovation | Supports a variety of industries | Available in the UK, Europe, and the US",multi_strategy
4Wall,https://europe.4wall.com,Used Stage Lighting,Sales of pre-owned stage lighting equipment.,Hardware,Paid,,Wide range of used stage lighting | Cost-effective options | High-quality equipment | Available for purchase | Suitable for various events,multi_strategy
4Wall,https://europe.4wall.com,Used Moving Lights,Sales of pre-owned moving lights for events and productions.,Hardware,Paid,,Wide range of used moving lights | Cost-effective options | High-quality equipment | Available for purchase | Suitable for various productions,multi_strategy
4Wall,https://europe.4wall.com,Used Truss Equipment,Sales of pre-owned truss equipment for event setups.,Hardware,Paid,,Wide range of used truss equipment | Cost-effective options | High-quality equipment | Available for purchase | Suitable for various setups,multi_strategy
4Wall,https://europe.4wall.com,Used Video Equipment,Sales of pre-owned video equipment for events and productions.,Hardware,Paid,,Wide range of used video equipment | Cost-effective options | High-quality equipment | Available for purchase | Suitable for various productions,multi_strategy
4Wall,https://europe.4wall.com,New Lighting Equipment,Sales of brand-new lighting equipment for events and productions.,Hardware,Paid,,Wide range of new lighting equipment | High-quality products | Available for purchase | Suitable for various events | Latest technology,multi_strategy
4Wall,https://europe.4wall.com,Studio 19,"A virtual production studio featuring extended reality technology, green screen, and virtual production capabilities.",Service,Paid,,Extended reality technology | Green screen capabilities | Virtual production support | Located in London's Royal Lancaster hotel | Secure environment for bespoke events,multi_strategy
Braindate,https://braindate.com,Braindate Experience,"A platform where users can create, host, and join one-on-one and group conversations on topics they want to discuss, enabling knowledge sharing and learning either in person or online.",Platform,Contact for pricing,,Crowdsourced knowledge through attendee-generated topics | Topic-driven intentional meetings | Hosted in-person support and guidance | Facilitates both in-person and online interactions | Supports one-on-one and group conversations,multi_strategy
Braindate,https://braindate.com,Braindate Event,"A Braindate experience activated at global events to engage attendees at user conferences, sales kickoffs, and roadshows.",Service,Contact for pricing,,"Engages attendees at global events | Supports user conferences, sales kickoffs, and roadshows | Facilitates meaningful peer-learning conversations | Provides actionable audience data | Seamlessly integrates with event tech stack",multi_strategy
Braindate,https://braindate.com,Braindate Gathering,"A recurring, theme-based Braindate experience designed for ongoing engagement to keep communities connected between events.",Service,Contact for pricing,,Recurring and theme-based experiences | Keeps communities connected between events | Encourages ongoing engagement | Facilitates meaningful conversations | Supports both in-person and online interactions,multi_strategy
Braindate,https://braindate.com,Braindate Organizer Space,An admin dashboard for managing Braindate experiences and accessing real-time data.,Platform,Contact for pricing,,Admin dashboard for event management | Access to real-time audience data | Customizable event settings | Integration with event tech stack | Streamlined management of Braindate experiences,multi_strategy
Erleah,https://erleah.com,Erleah Intelligent AI Event Assistant,A multi-channel intelligent AI assistant designed to enhance B2B event experiences for attendees and organizers.,Service,Not mentioned,,Personal AI guide for attendees | Intelligent session recommendations | Real-time ROI tracking for organizers | Smart networking connections | Year-round engagement metrics,multi_strategy
Erleah,https://erleah.com,Intelligent Landing Pages,"AI-powered landing pages that respond to visitor questions, personalize value propositions, and capture intent to boost registrations.",Service,Not mentioned,,AI responds to visitor questions | Personalizes value propositions | Captures visitor intent | 3x registration rate | 70% reduction in bounce rate,multi_strategy
Erleah,https://erleah.com,Pre-Event Activation,"A solution to warm up exhibitor leads, build anticipation, and schedule meetings before events.",Service,Not mentioned,,Warm up exhibitor leads | Build anticipation for events | Schedule meetings | 60% lower no-shows | 5x pre-event engagement,multi_strategy
Erleah,https://erleah.com,Live Intelligence,"Real-time event intelligence to guide attendees, track interactions, and prove outcomes.",Service,Not mentioned,,Real-time attendee guidance | Track every interaction | Prove event outcomes | 2.5x more qualified leads | 90% attendee satisfaction,multi_strategy
Erleah,https://erleah.com,Continuous Value,"A post-event solution to nurture relationships, share insights, and lock in rebookings.",Service,Not mentioned,,Nurture relationships year-round | Share actionable insights | Lock in rebookings | 40% increase in rebooking rates | 12-month engagement,multi_strategy
Erleah,https://erleah.com,AI-Powered Networking,A module that matches attendees with the right people at the right time using AI.,Service,Not mentioned,,AI-powered attendee networking | Matches the right people at the right time | 5x better connections | Improves networking efficiency | Enhances attendee experience,multi_strategy
Erleah,https://erleah.com,Intelligent Exhibitor Matching,A feature that guides prospects to the perfect solutions through intelligent exhibitor matching.,Service,Not mentioned,,Guides prospects to perfect solutions | 2.5x more qualified leads | Improves exhibitor ROI | Enhances attendee satisfaction | Drives exhibitor engagement,multi_strategy
Erleah,https://erleah.com,Smart Session Recommendations,A module that ensures full rooms of engaged attendees through intelligent session recommendations.,Service,Not mentioned,,Smart session recommendations | Ensures full rooms of engaged attendees | 85% session ROI improvement | Enhances attendee learning | Optimizes session participation,multi_strategy
Erleah,https://erleah.com,AI Summarization,A feature that provides personalized content summaries so attendees never miss key insights.,Service,Not mentioned,,AI-generated content summaries | Ensures attendees never miss key insights | Improves content value by 100% | Enhances attendee knowledge retention | Supports post-event content review,multi_strategy
Erleah,https://erleah.com,24/7 Intelligent Assistance,A feature that provides intelligent assistance across all channels to reduce support costs.,Service,Not mentioned,,24/7 intelligent assistance | Supports attendees across all channels | 70% reduction in support costs | Improves attendee satisfaction | Enhances event experience,multi_strategy
Eventbase,https://eventbase.com,Eventbase Event App Platform,"A mobile event technology platform trusted by global brands to power event apps for conferences, roadshows, meetings, trade shows, festivals, and sports events.",Platform,"Enterprise-grade, pricing not mentioned",,"Customizable app design and branding capabilities | Exceptional user experience and usability testing | ISO 27001 certified for data security | Integration with event registration systems and tech partners | Supports large-scale events like Olympics, SXSW, and CES",multi_strategy
Eventbase,https://eventbase.com,Discover by Eventbase,"A personalized first screen feature for event mobile apps, allowing tailored experiences for attendees before, during, and after events.",Feature,Pricing not mentioned,,Personalized attendee experiences | Customizable screens for different event stages | Tailored sequences for attendee groups | Pre-scheduled transitions | Enhances event personalization,multi_strategy
Eventbase,https://eventbase.com,Event Tech Integrations,Standardized and custom API integrations with various event technology partners to streamline event data flow and enhance attendee experience.,Service,Pricing not mentioned,,Integrates with meeting booking tools | Supports attendee networking platforms | Personalized recommendation systems | Standardized and custom API integrations | Seamless event data flow,multi_strategy
First Sight Media,https://firstsight.media,Event Creation,"Comprehensive event creation services for virtual, hybrid, and in-person events.",Service,Not mentioned,,"Support for conferences, exhibitions, webinars, graduations, and product launches | End-to-end technical production service | Custom set, lighting, and sound provision | Focus on delivering exceptional audience experiences | Expertise in live environments",multi_strategy
First Sight Media,https://firstsight.media,Video Production and Streaming Services,Professional video production and streaming services for events.,Service,Not mentioned,,High-quality video production | Live streaming for events | Captures key moments and enhances storytelling | Supports events with large international audiences | Enhances event quality and audience reach,multi_strategy
First Sight Media,https://firstsight.media,Content Creation for Events,"Content creation services tailored for events such as conferences, exhibitions, and more.",Service,Not mentioned,,Custom content for events | Focus on amplifying event reach | Expert advice and agile solutions | Support for event storytelling | Helps communicate key messages effectively,multi_strategy
Interprefy,https://interprefy.com,Human Interpretation,Provides spoken or signed interpretation from online professional interpreters for multilingual meetings and events.,Service,Tailored pricing,https://www.interprefy.com,"Professional interpreters | Supports multilingual meetings | Real-time interpretation | Seamless integration with AV setups | Accessible for in-person, online, and hybrid events",multi_strategy
Interprefy,https://interprefy.com,AI Speech Translation,"Delivers real-time, secure, and reliable speech translation using cutting-edge AI technology.",Service,Tailored pricing,https://www.interprefy.com,Real-time AI-powered translation | Secure and reliable technology | Supports multiple languages | Integration with event platforms | Enhances multilingual event engagement,multi_strategy
Interprefy,https://interprefy.com,Live Captions & Subtitles,Generates high-quality closed captions and subtitles in over 6000 language combinations using AI-powered technology.,Service,Tailored pricing,https://www.interprefy.com,AI-powered captioning technology | Supports over 6000 language combinations | High-quality closed captions | Improves accessibility for events | Real-time subtitle generation,multi_strategy
Interprefy,https://interprefy.com,Media Services,Provides secure access to event recordings with options for raw or professionally edited content.,Service,Tailored pricing,https://www.interprefy.com,Secure access to recordings | Raw or professionally edited content | Guaranteed privacy | Flexible media options | Supports post-event content needs,multi_strategy
Interprefy,https://interprefy.com,Interprefy Agent,A multilingual tool that can be invited like any guest to provide seamless multilingual accessibility.,Platform,Tailored pricing,https://www.interprefy.com,Multilingual accessibility | Easy integration | Supports multiple languages | Seamless guest invitation | Improves event inclusivity,multi_strategy
Komo,https://komo.tech,Engagement OS,"A modular platform built for marketers to unify engagement tools, launch interactive content, capture customer data, trigger rewards, and run loyalty programs.",Platform,Try for free / Paid / Enterprise,,Interactive content creation | Customer data capture and personalization | Rewards and loyalty program management | Unified engagement across channels | AI-powered system,multi_strategy
Komo,https://komo.tech,Reach,Distribute experiences across digital and physical touchpoints to maximize visibility and engagement.,Platform,,,"Multi-channel distribution | Audience targeting | Maximized visibility before, during, and after engagement",multi_strategy
Komo,https://komo.tech,Interactive Content,"Create interactive games, content, and competitions to drive audience engagement and repeat participation.",Platform,,,Interactive games and competitions | Content designed for engagement | Repeat participation and meaningful connections,multi_strategy
Komo,https://komo.tech,Customer Intelligence,"Capture customer insights through smart forms and surveys embedded in interactions, feeding real-time responses into unified profiles.",Platform,,,Smart forms and surveys | Real-time data capture | Unified customer profiles | Automation and personalized engagement,multi_strategy
